FREQ,Frequency,REF_AREA,Territory,DATA_TYPE_AGGR,Aggregate,VALUATION,Valuation (DESC),ADJUSTMENT,Adjustment (DESC),EDITION,Edition (DESC),TIME_PERIOD,Observation,OBS_STATUS,Observation status,NOTE_REF_AREA,Territory (NOTE_REF_AREA),NOTE_DATA_TYPE_AGGR,Aggregate (NOTE_DATA_TYPE_AGGR),NOTE_VALUATION,Valuation (NOTE_VALUATION),NOTE_ADJUSTMENT,Adjustment (NOTE_ADJUSTMENT),NOTE_EDITION,Edition (NOTE_EDITION),BASE_PER,Base year,UNIT_MEAS,Measure unit,UNIT_MULT,Multiplication unit
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,V,Current prices,N,Raw data,2024M9,Sep-2024,2023,226183,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,V,Current prices,N,Raw data,2025M3,Mar-2025,2016,187724,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,V,Current prices,N,Raw data,2025M3,Mar-2025,2017,191067,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,V,Current prices,N,Raw data,2025M3,Mar-2025,2018,193524,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,V,Current prices,N,Raw data,2025M3,Mar-2025,2019,194719,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,V,Current prices,N,Raw data,2025M3,Mar-2025,2020,200974,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,V,Current prices,N,Raw data,2025M3,Mar-2025,2021,213132,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,V,Current prices,N,Raw data,2025M3,Mar-2025,2022,221417,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,V,Current prices,N,Raw data,2025M3,Mar-2025,2023,226847,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,V,Current prices,N,Raw data,2025M3,Mar-2025,2024,234851,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,EURO,Euro,6,Millions
